MonthsActive,AvgOrderValue,NumOrdersLastQuarter,Region,NextMonthSpend
6,25.7,7,South,88.51
47,85.81,5,East,137.62
40,87.63,7,East,148.99
27,45.16,4,East,101.25
26,67.26,7,East,136.76
52,50.06,5,South,92.53
6,60.15,3,West,77.69
42,34.5,5,West,91.42
13,70.04,6,South,120.19
6,28.32,8,East,104.81
32,26.26,6,West,91.28
59,52.0,3,East,104.18
45,50.17,5,North,100.26
46,60.88,8,South,151.26
44,42.11,6,North,119.8
48,116.08,11,South,207.61
31,58.22,3,West,113.47
8,59.93,9,North,142.86
51,59.08,8,North,122.84
28,81.55,1,North,99.97
31,68.75,3,North,104.41
23,65.16,6,North,123.67
11,73.29,7,West,135.29
56,26.32,5,North,105.53
47,26.72,5,West,81.72
39,52.96,6,South,110.3
25,50.45,5,North,138.69
50,68.85,2,North,116.31
33,55.04,5,East,96.01
27,68.91,8,East,139.45
28,33.17,2,South,79.57
14,54.36,5,West,101.48
6,31.93,5,North,62.32
34,63.74,6,West,114.34
54,25.76,8,West,114.15
4,62.76,3,North,93.42
52,30.34,4,South,69.86
50,46.83,3,North,104.97
17,78.1,9,East,170.05
38,59.8,6,South,103.75
10,28.27,7,West,84.63
46,41.72,2,West,69.19
43,29.95,5,South,66.35
22,27.72,7,East,98.01
5,57.23,5,East,95.5
59,68.31,5,West,116.61
27,65.12,3,North,113.06
54,69.48,5,North,134.58
41,54.34,4,South,93.02
47,48.94,4,West,108.51
46,35.54,4,North,85.5
12,45.79,4,East,89.61
22,32.18,4,South,74.34
29,38.94,4,North,98.39
30,56.58,6,South,113.73
3,52.09,4,West,69.59
33,186.03,4,North,211.65
10,31.87,4,South,87.37
45,51.93,3,East,92.43
41,30.89,4,West,87.09
56,46.75,6,North,110.75
45,47.52,2,East,98.77
22,76.55,5,East,124.16
59,45.61,3,West,82.37
25,50.58,5,East,93.51
20,45.96,4,East,79.08
55,31.17,5,East,82.28
23,42.06,2,West,85.51
5,46.86,6,North,119.71
